rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,전북,32,63,20,9,3,71,34,37
2,울산,35,46,15,7,12,40,35,5
3,포항,31,59,17,8,6,59,34,25
4,수원,32,55,18,4,9,53,34,19
5,서울,31,55,16,7,8,57,41,16
6,부산,31,46,13,7,11,49,44,5
7,전남,30,43,11,10,9,33,29,4
8,경남,30,42,12,6,12,41,40,1
9,제주,30,40,10,10,10,44,45,-1
10,성남,30,35,9,8,13,43,47,-4
11,광주,30,35,9,8,13,32,43,-11
12,대구,30,33,8,9,13,35,46,-11
13,인천,30,32,6,14,10,31,40,-9
14,상주,30,29,7,8,15,36,53,-17
15,대전,30,27,6,9,15,31,59,-28
